Lewis Acid,coordnation energy (eV),Negative of standard enthalpy of formation (KJ/mol),Negative of standard Gibbs energy of formation (KJ/mol),Standard entrpoy        (J/mol K),Heat Capacity (J/mol K),meand bond lenght (Å),Melting point (0C),Boiling point (0C) ,Density        (103 Kg/m3),Standard entalphy of formation of M+ spcies (Kcal/mol),Lattice energy (exp. Or calc.) (KJ/mol),Mean bond energy (Kcal/mol),Covalent bond energy (Kcal/mol),ionic bond energy (Kcal/mol),Partial charge on central atom (e),Partial charge on ligand atom (e),ionization potensial      (gas phase) (eV),magnetic susceptibillity     (mesasured at various temp) (10-6cgs),dipole moment (gas phase)  (D),Atmoiv el.neg of central atom in diff. Ox.stat
TiCl2,23.6,513.8,464.4,87.4,69.83,2.25,1308.5,475,3.13,585.6,2431,120,,,,,,570,,1.54
TiCl3,51.3,720.9,653.5,139.7,97.15,2.3,440,660,2.64,1220.4,5134,111,,,,,,1110,,
TiCl4,94.5,804.2,737.2,252.3,145.18,2.19,-25,136.4,1.73,2220,9431,104,,,,,11.76,-54,0,
VCl3,561,,,,,,,,3,1296.5,5322,101,,,,,15.8,3030,,
VCI5,,570.2,,235.3,,2.03,-28,148.5,1.82,2374.9,,91,,,,,11.77,113,,
CrCl2,24,395.4,356.1,115.3,71.2,2.09,814,,2.88,634.7,2455,97,,,,,9.97,7230,,1.66
CrCl3,54.3,556.5,486.2,123,91.8,2.38,1152,1300,2.76,1356,5473,86,,,,,,6890,,
MnCl2,24,481.3,440.5,118.2,72.93,2.09,650,1190,2.98,602.2,2362,96,,,,,11.03,14350,,1.55
FeCl2,25.2,341.8,302.3,118,76.65,2.38,677,,3.16,657,2525,98,,,,,9.84,14750,,1.83
FeCl3,54.5,399.5,334,142.3,96.65,,306,315,2.9,1365.4,5364,80,,,,,,13450,,
CoCl2,25.5,312.5,269.9,109.2,78.5,2.53,7.2,1049,3.36,679.8,2709,92,,,10,12.7,,1.88,,
NiCl2,26.2,305.3,259,97.65,71.7,1.82,1001,973,3.55,700.6,2753,90,,,,,11.23,6145,,1.91
CuCl,7.85,137.2,119.9,86.2,48.5,2.34,429,1490,4.14,260.5,921,88,34.6,45.2,0.279,-0.279,10.7,-40,,1.9
CuCl2,26.9,220.1,175.7,108.1,71.9,2.09,493,993,3.99,729.9,2774,72,,,0.484,-0.242,12.89,1080,,
ZnCl,26.8,415.1,369.4,111.5,71.3,2.05,283,732,2.91,665.1,2690,78,38.3,40.2,0.328,-0.26,12.9,-65,,
BCl3,,427.2,387.4,206.1,106.7,1.75,-107.3,12.5,1.35,1785,,106.1,58.5,45.8,0.357,-0.119,11.62,-59.9,0,2.04
AlCl3,55.6,704.2,628.8,110.5,91.84,2.06,190,182.7,2.44,1310.5,5376,101.5,39.5,62.2,0.576,-0.192,12.01,,1.97,1.61
GaCl3,57.4,523.4,455.2,135.2,,2.09,77.9,201.3,2.47,1433,5217,86.8,46,32.7,0.312,-0.104,11.96,-63,,1.81
SiCl2,,162.4,176.3,282,51.33,2,,,,676.5,,101,,,,,10.93,,,
SiCl4,,657,617,330.6,90.2,2.09,-70,57.6,1.48,2492.8,,95.6,48.3,45.5,0.44,-0.11,11.8,-88.3,0,1.9
GeCl4,103.2,504.8,,347.5,,2.1,-49.5,84,1.84,2488.6,,81.2,,,0.264,-0.066,11.68,-72,0,2.01
SnCl2,22.7,350,302.1,122.5,,2.42,246,652,3.94,581.9,2276,93,,,,-0.16,7.3,-69,,1.65
SnCl4,,511.3,440.1,258.6,165.3,2.31,-33,114.1,2.23,2227.7,8355,75.3,41.4,31.6,0.352,-0.088,12.13,-115,0,1.96
PCl5,,374.9,305,364.6,112.8,2.03,166.8,162,4.63,4159.3,,63,,,,-0.06,10.7,-67.8,0,
AsCl3,55.9,305,259.4,216.3,,2.16,-8.5,130.2,2.16,1386.5,,73.8,48.2,18.7,0.183,-0.061,10.55,79.9,1.55,2.18
