Kraken ID,smiles,com,check,symbol,vmin_vmin_boltz,vmin_r_boltz,fmo_e_homo_boltz,fmo_e_lumo_boltz,fmo_mu_boltz,fmo_eta_boltz,fmo_omega_boltz,somo_ra_boltz,somo_rc_boltz,nbo_P_boltz,nbo_P_ra_boltz,spindens_P_ra_boltz,nbo_P_rc_boltz,spindens_P_rc_boltz,nmr_P_boltz,nmrtens_sxx_P_boltz,nmrtens_syy_P_boltz,nmrtens_szz_P_boltz,efg_amp_P_boltz,efgtens_xx_P_boltz,efgtens_yy_P_boltz,efgtens_zz_P_boltz,nuesp_P_boltz,E_solv_cds_boltz,nbo_lp_P_percent_s_boltz,nbo_lp_P_occ_boltz,nbo_lp_P_e_boltz,nbo_bd_e_max_boltz,nbo_bd_e_avg_boltz,nbo_bds_e_min_boltz,nbo_bds_e_avg_boltz,nbo_bd_occ_min_boltz,nbo_bd_occ_avg_boltz,nbo_bds_occ_max_boltz,nbo_bds_occ_avg_boltz,E_solv_total_boltz,E_solv_elstat_boltz,E_oxidation_boltz,E_reduction_boltz,fukui_p_boltz,fukui_m_boltz,vbur_vtot_boltz,vbur_ratio_vbur_vtot_boltz,Pint_P_int_boltz,Pint_dP_boltz,Pint_P_min_boltz,Pint_P_max_boltz,volume_boltz,surface_area_boltz,sphericity_boltz,dipolemoment_boltz,dipolemoment_min,dipolemoment_max,dipolemoment_delta,dipolemoment_vburminconf,qpole_amp_boltz,qpole_amp_min,qpole_amp_max,qpole_amp_delta,qpole_amp_vburminconf,qpoletens_xx_boltz,qpoletens_xx_min,qpoletens_xx_max,qpoletens_xx_delta,qpoletens_xx_vburminconf,qpoletens_yy_boltz,qpoletens_yy_min,qpoletens_yy_max,qpoletens_yy_delta,qpoletens_yy_vburminconf,qpoletens_zz_boltz,qpoletens_zz_min,qpoletens_zz_max,qpoletens_zz_delta,qpoletens_zz_vburminconf,pyr_P_boltz,pyr_P_min,pyr_P_max,pyr_P_delta,pyr_P_vburminconf,pyr_alpha_boltz,pyr_alpha_min,pyr_alpha_max,pyr_alpha_delta,pyr_alpha_vburminconf,vbur_vbur_boltz,vbur_vbur_min,vbur_vbur_max,vbur_vbur_delta,vbur_vbur_vburminconf,vbur_qvbur_min_boltz,vbur_qvbur_min_min,vbur_qvbur_min_max,vbur_qvbur_min_delta,vbur_qvbur_min_vburminconf,vbur_qvbur_max_boltz,vbur_qvbur_max_min,vbur_qvbur_max_max,vbur_qvbur_max_delta,vbur_qvbur_max_vburminconf,vbur_qvtot_min_boltz,vbur_qvtot_min_min,vbur_qvtot_min_max,vbur_qvtot_min_delta,vbur_qvtot_min_vburminconf,vbur_qvtot_max_boltz,vbur_qvtot_max_min,vbur_qvtot_max_max,vbur_qvtot_max_delta,vbur_qvtot_max_vburminconf,vbur_max_delta_qvbur_boltz,vbur_max_delta_qvbur_min,vbur_max_delta_qvbur_max,vbur_max_delta_qvbur_delta,vbur_max_delta_qvbur_vburminconf,vbur_max_delta_qvtot_boltz,vbur_max_delta_qvtot_min,vbur_max_delta_qvtot_max,vbur_max_delta_qvtot_delta,vbur_max_delta_qvtot_vburminconf,vbur_ovbur_min_boltz,vbur_ovbur_min_min,vbur_ovbur_min_max,vbur_ovbur_min_delta,vbur_ovbur_min_vburminconf,vbur_ovbur_max_boltz,vbur_ovbur_max_min,vbur_ovbur_max_max,vbur_ovbur_max_delta,vbur_ovbur_max_vburminconf,vbur_ovtot_min_boltz,vbur_ovtot_min_min,vbur_ovtot_min_max,vbur_ovtot_min_delta,vbur_ovtot_min_vburminconf,vbur_ovtot_max_boltz,vbur_ovtot_max_min,vbur_ovtot_max_max,vbur_ovtot_max_delta,vbur_ovtot_max_vburminconf,vbur_near_vbur_boltz,vbur_near_vbur_min,vbur_near_vbur_max,vbur_near_vbur_delta,vbur_near_vbur_vburminconf,vbur_far_vbur_boltz,vbur_far_vbur_min,vbur_far_vbur_max,vbur_far_vbur_delta,vbur_far_vbur_vburminconf,vbur_near_vtot_boltz,vbur_near_vtot_min,vbur_near_vtot_max,vbur_near_vtot_delta,vbur_near_vtot_vburminconf,vbur_far_vtot_boltz,vbur_far_vtot_min,vbur_far_vtot_max,vbur_far_vtot_delta,vbur_far_vtot_vburminconf,sterimol_B1_boltz,sterimol_B1_min,sterimol_B1_max,sterimol_B1_delta,sterimol_B1_vburminconf,sterimol_B5_boltz,sterimol_B5_min,sterimol_B5_max,sterimol_B5_delta,sterimol_B5_vburminconf,sterimol_L_boltz,sterimol_L_min,sterimol_L_max,sterimol_L_delta,sterimol_L_vburminconf,sterimol_burB1_boltz,sterimol_burB1_min,sterimol_burB1_max,sterimol_burB1_delta,sterimol_burB1_vburminconf,sterimol_burB5_boltz,sterimol_burB5_min,sterimol_burB5_max,sterimol_burB5_delta,sterimol_burB5_vburminconf,sterimol_burL_boltz,sterimol_burL_min,sterimol_burL_max,sterimol_burL_delta,sterimol_burL_vburminconf
1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,1,,N,-0.061654,1.819048,-0.218243,-0.025112,-0.121678,0.193131,0.038336,0.059115,-0.363712,0.801914,0.762849,0.039934,1.165658,0.466771,306.760234,286.047734,304.962932,329.270028,1.750655,-0.824412,-0.599056,1.423468,-54.196811,-11.78009,51.270247,1.927054,-0.300539,-0.439429,-0.448304,0.203064,0.213487,1.94784,1.953641,0.039439,0.034856,-18.908945,-7.128856,0.260082,0.017364,0.039065,0.363744,560.363692,0.18839,20.673662,5.018496,12.786666,42.084414,687.005572,534.283633,0.704737,1.258122,0.968894,1.512404,0.54351,1.358751,4.457962,3.208771,6.865921,3.65715,5.925214,3.470276,2.596043,4.872844,2.2768,4.206577,-0.794079,-1.424726,0.709004,2.133731,-0.033839,-2.676198,-4.91398,-1.603841,3.310139,-4.172737,0.925709,0.84107,0.952596,0.111526,0.899423,18.814261,14.921945,27.883267,12.961322,22.144826,105.566287,56.456887,127.930874,71.473986,56.456887,14.130803,9.989435,18.906818,8.917383,10.86172,41.22468,16.52111,44.214573,27.693463,17.402808,69.460958,46.825205,86.564813,39.739608,64.28856,237.975,210.826503,267.65675,56.830247,257.127896,23.526616,2.762234,26.822225,24.059991,6.541088,137.564939,109.336216,201.979947,92.643731,175.123357,0.000662,0,1.894133,1.894133,0,22.252508,16.52111,22.42315,5.90204,17.402808,0.0249,0,1.886762,1.886762,0,147.500019,137.745785,253.513982,115.768197,253.513982,70.690213,56.456887,79.674925,23.218037,56.456887,34.876074,0,48.255949,48.255949,0,418.630842,398.155797,559.500529,161.344732,555.129392,141.280869,0,157.820103,157.820103,3.614927,4.903719,4.070607,5.013689,0.943082,4.442683,7.52739,6.842619,9.844823,3.002204,9.47036,7.743235,7.450735,12.131655,4.68092,9.845203,4.800336,4.070607,5.013689,0.943082,4.211191,7.43948,6.306577,7.835474,1.528897,7.262693,7.291573,7.106519,8.238802,1.132283,7.735548
2,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,1,,N,-0.06367,1.784157,-0.20631,-0.023277,-0.114794,0.183033,0.036033,0.061658,-0.345264,0.816302,0.802036,0.014649,0.978401,0.240661,299.434207,274.434238,295.130615,328.737842,1.776474,-0.837937,-0.606367,1.444304,-54.202851,-10.649541,52.00459,1.930669,-0.295105,-0.43137,-0.441354,0.211338,0.21923,1.947097,1.952816,0.041694,0.036092,-17.914915,-7.265374,0.249314,0.019365,0.014265,0.1621,497.106516,0.218645,20.631938,4.681706,13.068405,40.205171,603.018126,465.644951,0.741325,0.817152,0.689429,2.16316,1.473731,1.788272,4.779103,2.27175,7.876988,5.605238,7.876988,3.341663,1.363021,5.008776,3.645755,5.008776,0.04929,-0.382885,1.985784,2.368669,0.989549,-3.390953,-5.998325,-1.771031,4.227294,-5.998325,0.931082,0.873397,0.952334,0.078937,0.888127,18.101491,14.899067,25.183772,10.284705,23.421026,108.688178,58.538238,124.748186,66.209948,58.538238,13.801399,9.967471,17.443598,7.476126,13.084267,42.569829,16.042086,44.477095,28.43501,16.042086,65.847581,44.327576,84.570749,40.243173,83.522648,201.798291,171.579651,218.612008,47.032356,182.582612,24.583497,2.246603,29.083471,26.836868,2.246603,103.494933,85.377692,150.601703,65.224011,96.84356,0.004209,0,0.598257,0.598257,0,22.364939,16.042086,22.449298,6.407212,16.042086,0.003828,0,0.808166,0.808166,0,152.143571,128.940179,195.121146,66.180967,182.582612,71.054598,58.538238,80.308743,21.770505,58.538238,37.63358,0,47.352287,47.352287,0,416.022948,393.007819,494.614803,101.606984,494.614803,79.387886,0,103.043657,103.043657,0,4.810242,3.968864,5.121417,1.152553,4.992833,7.731732,6.748365,8.14274,1.394375,7.906785,7.735165,7.382426,10.433514,3.051089,9.246176,4.72938,3.968864,4.932659,0.963795,4.779161,6.572514,6.339063,7.850955,1.511892,6.407769,7.285463,6.908744,8.216943,1.3082,7.992698
3,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,1,3,Y,-0.066303,1.798595,-0.213323,-0.016923,-0.115123,0.1964,0.03375,0.069846,-0.356952,0.796412,0.780617,0.020078,1.152166,0.460005,300.972365,274.026746,302.814408,326.075973,1.746892,-0.811314,-0.610283,1.421597,-54.203739,-8.933203,51.485658,1.932662,-0.295813,-0.431361,-0.441308,0.209768,0.219849,1.947707,1.953556,0.038602,0.034629,-17.492437,-8.559233,0.257801,0.026667,0.015795,0.355754,459.164592,0.220175,20.257299,4.516962,12.911716,38.022726,551.589799,444.004694,0.732618,0.911187,0.716676,3.289474,2.572798,2.94423,8.89442,6.7314,9.871608,3.140208,6.892838,5.296207,4.023824,7.587892,3.564068,5.033061,1.636633,-2.394301,2.200549,4.59485,-0.335516,-6.93284,-7.489743,-3.530137,3.959606,-4.697545,0.931197,0.843186,0.944014,0.100829,0.878678,18.110994,16.181093,28.14265,11.961557,24.470785,101.093855,56.874203,104.669954,47.795751,56.874203,12.62746,11.308321,14.302746,2.994425,11.308321,42.286822,16.310883,43.793074,27.482191,17.084853,60.381854,53.018845,75.828773,22.809928,63.632144,179.367995,149.970491,192.210694,42.240203,167.729022,25.342414,2.330276,28.008281,25.678005,5.776531,93.011024,75.321143,129.653256,54.332112,96.074623,0.000105,0,0.28867,0.28867,0,22.338402,16.310883,22.399094,6.088211,17.084853,0.000104,0,0.285816,0.285816,0,130.258031,118.24307,167.729022,49.485952,167.729022,68.641221,56.874203,72.849351,15.975148,56.874203,32.452634,0,35.710323,35.710323,0,381.227367,370.452032,458.051377,87.599345,458.051377,74.877624,0,89.733055,89.733055,0,4.550448,4.111415,4.950248,0.838833,4.404915,7.26101,6.598671,7.688512,1.089842,7.211256,7.782934,7.478207,10.187025,2.708818,10.1395,4.450953,3.97191,4.943575,0.971665,4.353833,7.156276,6.349086,7.287324,0.938238,7.021625,7.306643,7.025374,8.361404,1.33603,7.424874
4,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,1,,N,-0.067319,1.795292,-0.211571,-0.013802,-0.112687,0.19777,0.032124,0.070775,-0.349017,0.798225,0.775998,0.024511,1.149663,0.454446,302.318425,277.965696,300.088574,328.900957,1.742903,-0.806151,-0.612504,1.418655,-54.204533,-10.874606,51.482208,1.929904,-0.294567,-0.429882,-0.440286,0.210561,0.221013,1.947043,1.953687,0.038906,0.034756,-19.797119,-8.922513,0.25463,0.028764,0.022227,0.351438,530.541925,0.203211,20.715404,4.91419,13.063866,39.5176,643.162366,506.576716,0.711353,1.027234,0.62202,3.702455,3.080434,2.866488,8.33947,5.748111,11.027605,5.279494,7.596126,5.444574,3.629191,8.278023,4.648831,5.755577,0.79301,-2.515082,1.800251,4.315333,-0.876398,-6.237584,-7.20655,-2.755492,4.451057,-4.879179,0.929776,0.867741,0.948104,0.080363,0.896718,18.275157,15.615404,25.774521,10.159117,22.412178,107.809384,55.427717,130.477652,75.049934,55.427717,13.335343,10.796874,19.41722,8.620346,11.074038,41.89329,16.162365,44.198885,28.03652,16.808734,64.136807,46.035276,89.270353,43.235077,72.840022,209.521067,169.849296,256.029588,86.180292,210.966413,23.956094,2.075075,27.606653,25.531579,5.734695,119.248233,83.550246,176.22117,92.670924,120.555874,0.016911,0,5.314242,5.314242,0,22.291815,16.162365,22.395956,6.233592,16.808734,0.010147,0,5.305009,5.305009,0,160.550184,141.448477,221.723539,80.275061,207.700465,69.397182,55.427717,79.810892,24.383175,55.427717,38.412202,0,53.99692,53.99692,0,427.987766,410.711938,530.853346,120.141408,526.238416,100.482919,0,119.524405,119.524405,3.346426,4.713454,3.924524,5.085278,1.160754,4.377169,8.613301,7.34738,8.913189,1.565809,7.978501,7.794682,7.257931,11.390273,4.132342,10.865995,4.619566,3.924524,4.979322,1.054797,4.377169,7.238774,6.369287,7.81301,1.443723,7.65352,7.338674,6.996319,8.333428,1.33711,7.483233
5,c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,1,,N,-0.061351,1.816461,-0.218842,-0.030145,-0.124494,0.188697,0.041069,0.060353,-0.376125,0.787516,0.773934,0.013872,1.217727,0.544764,308.933664,287.001166,304.046998,335.752911,1.781245,-0.852579,-0.594096,1.446675,-54.196973,-10.363806,51.502418,1.931407,-0.303106,-0.438497,-0.448712,0.200092,0.210771,1.947589,1.953787,0.04013,0.035465,-16.552024,-6.188217,0.265739,0.015229,0.013581,0.430211,402.37967,0.212085,19.960619,4.273267,12.825701,36.234897,484.624425,399.79343,0.746387,1.088346,0.906896,1.514636,0.60774,1.514636,5.548018,4.93964,7.483573,2.543933,5.250061,2.932687,2.452127,5.452299,3.000172,3.356947,1.511742,-0.337371,1.983196,2.320567,0.630152,-4.444429,-5.539119,-3.987099,1.552021,-3.987099,0.930566,0.860283,0.948789,0.088506,0.860283,18.175336,15.519946,26.606281,11.086335,26.606281,85.339285,57.033181,111.484023,54.450842,57.033181,12.405591,9.967471,19.814664,9.847192,11.52064,38.869888,16.351673,43.448971,27.097298,17.850455,59.329487,44.561431,77.448965,32.887534,72.197179,159.303075,120.646752,170.690819,50.044067,120.646752,24.554618,3.3584,27.452905,24.094506,5.602911,87.856755,39.064358,113.876063,74.811705,39.064358,0.016807,0,1.119118,1.119118,0,21.620371,16.351673,22.296595,5.944922,17.781425,0.042238,0,3.083296,3.083296,0,114.307363,108.227737,143.971723,35.743986,120.576248,64.74577,56.964151,81.621353,24.657202,56.964151,20.593514,0,30.441055,30.441055,0.06903,347.720593,327.210122,402.558769,75.348647,402.558769,52.789323,0,74.852398,74.852398,0.070504,4.39652,3.475457,4.749651,1.274194,4.628886,6.762382,6.114317,7.385278,1.27096,6.7715,7.882031,7.479875,10.346047,2.866173,10.346047,4.224047,3.475457,4.699096,1.223639,4.628886,6.497622,6.092458,7.05526,0.962802,6.376705,7.370445,7.021018,8.155038,1.13402,8.086289
6,C1C2CC3CC1CC(P(C14CC5CC(CC(C5)C1)C4)C14CC5CC(CC(C5)C1)C4)(C2)C3,1,,N,-0.071244,1.780166,-0.20994,0.01642,-0.09676,0.22636,0.020681,0.08304,-0.38878,0.8049,0.7816,0.03121,1.42106,0.79423,230.2584,186.0104,186.1169,318.6477,1.734479,-0.708263,-0.707933,1.416196,-54.201192,-11.65,47.41,1.92158,-0.27626,-0.42692,-0.426957,0.19322,0.19328,1.94792,1.94793,0.04437,0.044363,-15.594363,-3.944363,0.257357,0.049921,0.0233,0.61616,461.734987,0.142245,20.69,3.78,14.41,29.64,573.85453,420.07279,0.794988,1.146389,1.146389,1.146389,0,1.146389,3.481168,3.481168,3.481168,0,3.481168,1.421997,1.421997,1.421997,0,1.421997,1.420365,1.420365,1.420365,0,1.420365,-2.842362,-2.842362,-2.842362,0,-2.842362,0.821772,0.821772,0.821772,0,0.821772,30.510623,30.510623,30.510623,0,30.510623,65.679675,65.679675,65.679675,0,65.679675,15.283805,15.283805,15.283805,0,15.283805,17.33587,17.33587,17.33587,0,17.33587,98.453266,98.453266,98.453266,0,98.453266,133.127777,133.127777,133.127777,0,133.127777,1.44544,1.44544,1.44544,0,1.44544,33.695868,33.695868,33.695868,0,33.695868,0,0,0,0,0,17.33587,17.33587,17.33587,0,17.33587,0,0,0,0,0,133.127777,133.127777,133.127777,0,133.127777,65.679675,65.679675,65.679675,0,65.679675,0,0,0,0,0,462.592866,462.592866,462.592866,0,462.592866,0,0,0,0,0,5.230008,5.230008,5.230008,0,5.230008,6.902411,6.902411,6.902411,0,6.902411,7.400359,7.400359,7.400359,0,7.400359,5.218561,5.218561,5.218561,0,5.218561,6.443564,6.443564,6.443564,0,6.443564,6.952513,6.952513,6.952513,0,6.952513
7,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1)c1ccccc1,1,,N,-0.05222,1.802479,-0.216514,-0.026482,-0.121498,0.190032,0.038841,0.057919,-0.350006,0.811136,0.765791,0.048373,1.101358,0.382472,296.987588,264.603381,301.244549,325.114834,1.795487,-0.746686,-0.719237,1.465923,-54.185292,-7.857126,49.74235,1.898329,-0.29863,-0.464451,-0.467857,0.230351,0.233743,1.950156,1.9513,0.041476,0.039266,-18.39399,-10.536864,0.259092,0.016531,0.045345,0.290222,442.76743,0.211801,20.500912,4.509482,13.460283,40.897251,505.183406,414.406527,0.740215,1.50254,1.492541,2.795583,1.303043,2.604113,11.639476,9.793711,14.038324,4.244613,14.038324,7.263447,6.919767,10.417601,3.497833,10.417601,1.664568,-3.932898,3.041902,6.974799,-1.068453,-8.928015,-10.26068,-4.977128,5.283552,-9.349147,0.932469,0.876289,0.936548,0.060258,0.884667,18.014421,17.424321,24.845155,7.420833,23.650572,93.778953,52.148806,100.013587,47.864781,52.148806,11.007894,10.448588,11.595945,1.147357,11.595945,41.555451,14.80478,41.972154,27.167373,14.80478,57.92225,57.530172,75.54445,18.014278,70.190019,177.471285,152.774019,180.271525,27.497506,176.333884,24.154574,2.411856,24.231519,21.819663,2.411856,100.352454,78.137778,103.672606,25.534828,99.538199,0,0,0,0,0,21.906302,14.80478,22.39491,7.59013,14.80478,0,0,0,0,0,140.733995,122.680705,176.333884,53.653179,176.333884,63.831995,52.148806,67.2182,15.069394,52.148806,29.946958,0,34.562965,34.562965,0,379.861792,371.100968,439.91012,68.809152,439.91012,59.191492,0,71.302199,71.302199,0,4.258641,4.183839,4.610107,0.426268,4.536474,7.168965,6.398443,7.690561,1.292119,7.690561,7.514414,7.50996,9.712967,2.203006,9.379149,4.178906,4.126806,4.554869,0.428063,4.51576,6.45126,6.138821,7.498892,1.36007,7.498892,7.100604,7.094582,8.343877,1.249295,7.810168
8,CC(C)(C)P(C(C)(C)C)C(C)(C)C,1,,N,-0.067185,1.780165,-0.21688,0.03601,-0.090435,0.25289,0.01617,0.11399,-0.45613,0.74462,0.74009,0.01546,1.3783,0.81752,225.189,200.3439,200.864,274.359,1.749229,-0.714163,-0.714077,1.428239,-54.196339,-3.32,50.14,1.93525,-0.29422,-0.43114,-0.431173,0.17692,0.176943,1.94458,1.94459,0.05246,0.052453,-7.006582,-3.686582,0.273509,0.075372,0.00453,0.63368,253.200425,0.257221,17.76,2.54,13.45,25.87,317.84446,253.2069,0.889512,1.083268,1.083268,1.083268,0,1.083268,2.814976,2.814976,2.814976,0,2.814976,1.151961,1.151961,1.151961,0,1.151961,1.146455,1.146455,1.146455,0,1.146455,-2.298416,-2.298416,-2.298416,0,-2.298416,0.830704,0.830704,0.830704,0,0.830704,29.646951,29.646951,29.646951,0,29.646951,65.128483,65.128483,65.128483,0,65.128483,15.199086,15.199086,15.199086,0,15.199086,17.122505,17.122505,17.122505,0,17.122505,57.684279,57.684279,57.684279,0,57.684279,66.725689,66.725689,66.725689,0,66.725689,1.383732,1.383732,1.383732,0,1.383732,8.701615,8.701615,8.701615,0,8.701615,0,0,0,0,0,17.122505,17.122505,17.122505,0,17.122505,0,0,0,0,0,66.725689,66.725689,66.725689,0,66.725689,65.128483,65.128483,65.128483,0,65.128483,0,0,0,0,0,253.200425,253.200425,253.200425,0,253.200425,0,0,0,0,0,4.053254,4.053254,4.053254,0,4.053254,4.894739,4.894739,4.894739,0,4.894739,6.648917,6.648917,6.648917,0,6.648917,4.053254,4.053254,4.053254,0,4.053254,4.894739,4.894739,4.894739,0,4.894739,6.648917,6.648917,6.648917,0,6.648917
9,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,1,,N,-0.043479,1.820164,-0.222589,-0.028099,-0.125344,0.194489,0.040391,0.058946,-0.38474,0.793475,0.748629,0.037887,1.181857,0.495338,317.294407,308.155382,321.808245,321.919695,1.783929,-0.728541,-0.72803,1.456571,-54.1798,-7.679303,48.14646,1.878626,-0.301923,-0.475951,-0.475983,0.23203,0.232065,1.952557,1.952574,0.041702,0.041685,-14.146016,-6.466713,0.268475,0.015654,0.044846,0.388382,352.64163,0.203495,19.930027,4.329517,13.520054,38.379141,407.229542,346.736976,0.766261,0.432101,0.4305,1.341424,0.910924,1.341424,4.688753,4.563067,6.600232,2.037166,6.600232,1.927384,1.921631,4.067263,2.145632,3.771225,1.898295,-0.71813,1.905328,2.623458,1.448294,-3.825679,-5.219518,-2.824437,2.395082,-5.219518,0.918177,0.853769,0.918251,0.064482,0.874966,19.95671,19.947677,27.252916,7.305239,24.8494,71.760779,61.752303,71.777299,10.024996,61.752303,15.938711,11.333423,15.951092,4.617669,11.389902,19.864863,19.862775,21.956676,2.093901,20.860568,76.530487,62.255792,76.568861,14.313069,67.092179,98.596759,98.582896,105.721662,7.138767,105.587386,2.947724,2.932717,10.062649,7.129932,9.470667,16.658437,16.591668,41.497024,24.905356,32.158043,0.23887,0,0.239512,0.239512,0,18.848428,18.848248,19.839765,0.991518,19.694385,0.186967,0,0.18747,0.18747,0,97.510666,97.493884,105.587386,8.093502,105.587386,68.765933,60.602853,68.777644,8.174791,60.602853,2.994846,1.149449,2.999655,1.850205,1.149449,347.879444,346.965721,350.243703,3.277982,349.914566,3.204812,1.24191,3.209253,1.967343,1.24191,4.526789,4.325712,4.530296,0.204584,4.530296,6.364474,6.363998,6.665476,0.301477,6.665476,6.973442,6.970915,7.943454,0.972539,7.943454,4.480815,4.20936,4.508678,0.299319,4.508678,6.042971,6.042803,6.210989,0.168186,6.210989,6.778337,6.776344,7.604455,0.828112,7.604455
10,CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,1,,N,-0.067275,1.781649,-0.217025,0.02078,-0.098122,0.237805,0.020244,0.090149,-0.396203,0.802522,0.780564,0.023098,1.404489,0.765906,271.471854,205.007851,285.917161,323.490462,1.682547,-0.711608,-0.661884,1.373492,-54.203181,-9.890414,49.359082,1.931092,-0.288996,-0.432809,-0.436984,0.201409,0.204323,1.946752,1.954269,0.044758,0.036774,-13.622771,-3.732357,0.268019,0.055689,0.021958,0.601966,394.113559,0.16313,19.679794,3.71849,11.952496,31.453428,495.69089,387.467311,0.781772,1.202751,1.141094,1.278767,0.137674,1.211277,3.534844,2.947867,4.487209,1.539342,4.487209,2.032064,1.69862,2.237337,0.538717,2.192772,0.750805,0.410286,1.44553,1.035244,1.44553,-2.782869,-3.638302,-2.259093,1.379209,-3.638302,0.882626,0.842557,0.891186,0.04863,0.844903,23.897804,22.929978,28.279018,5.34904,28.039769,64.29165,58.921039,75.44424,16.523202,58.921039,13.927871,10.986182,14.299608,3.313426,10.986182,18.885498,16.975033,28.980972,12.00594,17.858822,61.285179,48.061483,68.983128,20.921644,62.493345,135.974325,134.856172,136.144801,1.288629,135.721862,4.586042,2.476702,16.05882,13.582118,6.324585,64.967869,59.011823,77.502849,18.491026,63.078979,0,0,0,0,0,17.860263,16.975033,21.154468,4.179435,17.858822,0,0,0,0,0,135.974283,134.856172,136.144801,1.288629,135.721862,63.267428,58.921039,67.789264,8.868226,58.921039,1.024222,0,8.523077,8.523077,0,389.880279,380.175642,395.108642,14.933,392.979806,4.232918,0,13.675034,13.675034,0,4.637579,4.038318,5.034807,0.99649,4.412271,7.026003,6.840619,7.447245,0.606626,6.842588,7.532539,7.481783,8.645693,1.163911,8.645693,4.575603,4.038318,5.028204,0.989886,4.157678,6.615313,6.374532,7.124679,0.750147,6.377288,7.056268,7.037797,7.146163,0.108366,7.099058
